Step,Mu,Sigma,Hamiltonian,Error
342,0.760593,0.661514,-0.403359,0.00998146
343,0.760593,0.661514,-0.390379,0.0120577
344,0.755538,0.651477,-0.380719,0.0142065
345,0.731942,0.612492,-0.372092,0.00964905
346,0.773957,0.626879,-0.396273,0.0155299
347,0.824898,0.623163,-0.411087,0.0131392
348,0.824898,0.623163,-0.391928,0.0114979
349,0.882225,0.687994,-0.333587,0.0313899
350,0.791999,0.603131,-0.382387,0.011227
351,0.823595,0.586094,-0.361901,0.0119245
352,0.891431,0.618468,-0.351978,0.0181318
353,0.891431,0.618468,-0.307971,0.0202449
354,0.891431,0.618468,-0.308954,0.023242
355,0.891431,0.618468,-0.321237,0.0205153
356,0.891431,0.618468,-0.320544,0.0402758
357,0.938587,0.708141,-0.303127,0.0284646
358,0.938587,0.708141,-0.248333,0.045131
359,0.907097,0.674273,-0.352019,0.0267187
360,0.907097,0.674273,-0.301219,0.0374422
361,0.832336,0.645302,-0.387726,0.0177095
362,0.832336,0.645302,-0.377573,0.0170855
363,0.862679,0.686342,-0.376025,0.0250845
364,0.862679,0.686342,-0.379543,0.0177186
365,0.812068,0.591856,-0.381045,0.00942218
366,0.812068,0.591856,-0.399226,0.00546736
367,0.812068,0.591856,-0.361841,0.0125916
368,0.812068,0.591856,-0.3634,0.0132913
369,0.812068,0.591856,-0.341653,0.0138992
370,0.888024,0.658903,-0.351329,0.0316119
371,0.888024,0.658903,-0.359936,0.0188467
372,0.888024,0.658903,-0.363851,0.0199678
373,0.893447,0.640752,-0.315659,0.0310382
374,0.824113,0.668139,-0.412896,0.0171567
375,0.824113,0.668139,-0.384129,0.0220136
376,0.818816,0.746339,-0.300824,0.036435
377,0.839002,0.656441,-0.345389,0.0304594
378,0.89057,0.649393,-0.333723,0.0240854
379,0.811019,0.620928,-0.373851,0.0142959
380,0.742838,0.591651,-0.374299,0.0139004
381,0.676371,0.579048,-0.318463,0.00906871
382,0.71012,0.568206,-0.341322,0.0071164
383,0.71012,0.568206,-0.347305,0.00777956
384,0.749104,0.576787,-0.373211,0.00905576
385,0.749104,0.576787,-0.370193,0.00618838
386,0.712088,0.675576,-0.363926,0.0115586
387,0.712088,0.675576,-0.371317,0.0118383
388,0.785898,0.578053,-0.363967,0.00887753
389,0.785898,0.578053,-0.359815,0.0100756
390,0.784993,0.611809,-0.389366,0.0140242
391,0.773643,0.656491,-0.366447,0.0205745
392,0.868619,0.620927,-0.375632,0.0140939
393,0.868619,0.620927,-0.358249,0.02078
394,0.868619,0.620927,-0.332696,0.0183533
395,0.836166,0.586974,-0.355762,0.0145834
396,0.836166,0.586974,-0.366308,0.0103408
397,0.764672,0.640164,-0.384891,0.0171911
398,0.688916,0.599682,-0.358384,0.00888487
399,0.688916,0.599682,-0.349447,0.00751682
400,0.684432,0.680552,-0.329535,0.012951
401,0.706912,0.696523,-0.323624,0.0220054
402,0.756172,0.70376,-0.367743,0.0178424
403,0.831713,0.647098,-0.41862,0.0122917
404,0.831713,0.647098,-0.395822,0.0165134
405,0.831713,0.647098,-0.376623,0.017789
406,0.867302,0.577525,-0.325786,0.0127147
407,0.867302,0.577525,-0.317265,0.012474
408,0.867302,0.577525,-0.318195,0.0139863
409,0.776343,0.551656,-0.32011,0.00809411
410,0.776343,0.551656,-0.319897,0.0116643
411,0.822766,0.551872,-0.314455,0.00956573
412,0.822766,0.551872,-0.292096,0.0128891
413,0.822766,0.551872,-0.305564,0.00886903
414,0.822766,0.551872,-0.307123,0.00830656
415,0.822766,0.551872,-0.304886,0.00971192
416,0.822766,0.551872,-0.302524,0.00919824
417,0.852414,0.598202,-0.376541,0.0110703
418,0.852414,0.598202,-0.380634,0.0119955
419,0.798388,0.603967,-0.404418,0.00774372
420,0.798388,0.603967,-0.379959,0.0127946
421,0.756656,0.611178,-0.393267,0.0101064
422,0.692224,0.649113,-0.375245,0.00797789
423,0.785142,0.718593,-0.344707,0.0235401
424,0.785142,0.718593,-0.253786,0.040783
425,0.695187,0.685845,-0.348168,0.0123979
426,0.695187,0.685845,-0.347842,0.0133365
427,0.695187,0.685845,-0.347154,0.013196
428,0.674986,0.586677,-0.321308,0.00979884
429,0.674986,0.586677,-0.338441,0.00847212
430,0.728935,0.581076,-0.368464,0.00726624
431,0.821634,0.540476,-0.286281,0.00969068
432,0.736336,0.531788,-0.272904,0.0112215
433,0.731819,0.533614,-0.291178,0.00904384
434,0.736095,0.553198,-0.323606,0.00667777
435,0.801578,0.574202,-0.357873,0.00847169
436,0.801578,0.574202,-0.353824,0.0129104
437,0.801578,0.574202,-0.337262,0.0111965
438,0.801578,0.574202,-0.35461,0.013099
439,0.890087,0.63968,-0.369005,0.0226935
440,0.890087,0.63968,-0.342887,0.0214971
441,0.890087,0.63968,-0.346805,0.0222259
442,0.890087,0.63968,-0.319902,0.031366
443,0.915284,0.655167,-0.281841,0.0285857
