#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         695    0.859266    0.788362  0.00838325
         696    0.859483    0.788464  0.00837182
         697    0.859675    0.788566  0.00836044
         698    0.859843    0.788669  0.00834908
         699    0.859983    0.788771  0.00833776
         700    0.860097    0.788872  0.00832647
         701    0.860184    0.788974  0.00831522
         702    0.860243    0.789076  0.00830399
         703    0.860275    0.789177   0.0082928
         704    0.860278    0.789278  0.00828163
         705    0.860255    0.789379   0.0082705
         706    0.860205    0.789479  0.00825939
         707    0.860128    0.789579  0.00824831
         708    0.860023    0.789678  0.00823726
         709     0.85989    0.789777  0.00822624
         710     0.85973    0.789876  0.00821524
         711    0.859542    0.789974  0.00820427
         712    0.859327    0.790071  0.00819333
         713    0.859084    0.790168  0.00818241
         714    0.858814    0.790264  0.00817151
         715    0.858517     0.79036  0.00816064
         716    0.858193    0.790454   0.0081498
         717    0.857843    0.790548  0.00813897
         718    0.857468    0.790642  0.00812817
         719    0.857067    0.790734  0.00811739
         720    0.856641    0.790826  0.00810663
         721    0.856189    0.790916  0.00809589
         722    0.855713    0.791006  0.00808518
         723    0.855213    0.791095  0.00807448
         724    0.854689    0.791183  0.00806381
         725    0.854141    0.791269  0.00805315
         726     0.85357    0.791355  0.00804252
         727    0.852978     0.79144   0.0080319
         728    0.852365    0.791524  0.00802131
         729    0.851729    0.791606  0.00801073
         730    0.851072    0.791688  0.00800017
         731    0.850394    0.791768  0.00798963
