#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         532    0.734201    0.769342    0.010776
         533    0.735308    0.769278    0.010756
         534    0.736446    0.769216    0.010736
         535    0.737613    0.769157   0.0107161
         536    0.738809    0.769101   0.0106963
         537    0.740033    0.769047   0.0106765
         538    0.741283    0.768995   0.0106568
         539    0.742557    0.768946   0.0106371
         540    0.743854      0.7689   0.0106175
         541    0.745173    0.768856    0.010598
         542    0.746513    0.768814   0.0105785
         543    0.747872    0.768776   0.0105591
         544    0.749248     0.76874   0.0105397
         545    0.750641    0.768707   0.0105205
         546     0.75205    0.768676   0.0105012
         547    0.753472    0.768648   0.0104821
         548    0.754905    0.768623    0.010463
         549    0.756348    0.768601   0.0104439
         550    0.757799    0.768581    0.010425
         551    0.759255    0.768564   0.0104061
         552    0.760715     0.76855   0.0103872
         553    0.762176    0.768539   0.0103684
         554    0.763639     0.76853   0.0103497
         555    0.765099    0.768524   0.0103311
         556    0.766557     0.76852   0.0103125
         557     0.76801    0.768519    0.010294
         558    0.769457    0.768521   0.0102755
         559    0.770895    0.768525   0.0102572
         560    0.772323    0.768532   0.0102388
         561    0.773739    0.768541   0.0102206
         562     0.77514    0.768553   0.0102024
         563    0.776527    0.768567   0.0101843
         564    0.777898    0.768584   0.0101663
         565     0.77925    0.768603   0.0101483
         566    0.780581    0.768624   0.0101304
         567     0.78189    0.768647   0.0101125
         568    0.783178    0.768673   0.0100948
         569    0.784442      0.7687   0.0100771
         570    0.785682     0.76873   0.0100594
         571    0.786895    0.768762   0.0100419
         572    0.788081    0.768796   0.0100244
         573     0.78924    0.768831   0.0100069
         574     0.79037    0.768869  0.00998957
         575    0.791472    0.768908  0.00997227
         576    0.792544    0.768949  0.00995505
         577    0.793584    0.768992  0.00993788
         578    0.794595    0.769036  0.00992079
         579    0.795574    0.769082  0.00990376
         580    0.796521    0.769129   0.0098868
         581    0.797437    0.769178   0.0098699
         582    0.798321    0.769228  0.00985307
         583    0.799173     0.76928   0.0098363
         584    0.799995    0.769332   0.0098196
         585    0.800786    0.769386  0.00980296
         586    0.801546    0.769441  0.00978639
         587    0.802277    0.769497  0.00976987
         588    0.802977    0.769554  0.00975343
         589    0.803647    0.769612  0.00973704
         590    0.804288     0.76967  0.00972071
         591      0.8049     0.76973  0.00970445
         592    0.805485     0.76979  0.00968824
         593    0.806041    0.769852   0.0096721
         594    0.806572    0.769913  0.00965601
         595    0.807078    0.769976  0.00963998
         596     0.80756    0.770039  0.00962402
         597    0.808019    0.770103  0.00960811
         598    0.808455    0.770167  0.00959225
         599    0.808871    0.770231  0.00957646
         600    0.809266    0.770296  0.00956072
         601    0.809643    0.770362  0.00954503
         602    0.810002    0.770428  0.00952941
         603    0.810345    0.770494  0.00951383
         604    0.810671     0.77056  0.00949831
         605    0.810984    0.770627  0.00948285
         606    0.811283    0.770694  0.00946744
         607    0.811571    0.770762  0.00945208
         608    0.811849    0.770829  0.00943678
         609    0.812116    0.770897  0.00942152
         610    0.812374    0.770965  0.00940632
         611    0.812624    0.771033  0.00939118
         612    0.812867    0.771102  0.00937608
         613    0.813103     0.77117  0.00936103
         614    0.813335    0.771239  0.00934604
         615    0.813563    0.771308   0.0093311
         616    0.813788    0.771376   0.0093162
         617    0.814011    0.771446  0.00930136
         618    0.814234    0.771515  0.00928657
         619    0.814456    0.771584  0.00927182
         620    0.814679    0.771654  0.00925713
         621    0.814903    0.771723  0.00924249
