#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         575     1.16051     1.26454   0.0128465
         576     1.16008     1.26436   0.0128255
         577     1.15963     1.26418   0.0128046
         578     1.15917       1.264   0.0127837
         579     1.15869     1.26381   0.0127629
         580     1.15821     1.26363   0.0127422
         581     1.15771     1.26345   0.0127216
         582     1.15719     1.26327    0.012701
         583     1.15666     1.26308   0.0126806
         584     1.15612      1.2629   0.0126602
         585     1.15556     1.26272   0.0126399
         586     1.15499     1.26253   0.0126196
         587     1.15439     1.26235   0.0125995
         588     1.15378     1.26216   0.0125794
         589     1.15316     1.26198   0.0125594
         590     1.15252     1.26179   0.0125395
         591     1.15185     1.26161   0.0125196
         592     1.15117     1.26142   0.0124999
         593     1.15047     1.26123   0.0124802
         594     1.14976     1.26105   0.0124606
         595     1.14902     1.26086   0.0124411
         596     1.14826     1.26067   0.0124216
         597     1.14749     1.26048   0.0124023
         598     1.14669     1.26029    0.012383
         599     1.14588      1.2601   0.0123638
         600     1.14505     1.25991   0.0123447
         601     1.14419     1.25971   0.0123257
         602     1.14332     1.25952   0.0123067
         603     1.14243     1.25933   0.0122878
         604     1.14152     1.25913    0.012269
         605     1.14059     1.25894   0.0122503
         606     1.13965     1.25874   0.0122317
         607     1.13868     1.25854   0.0122131
         608      1.1377     1.25834   0.0121946
         609      1.1367     1.25814   0.0121763
         610     1.13568     1.25794    0.012158
         611     1.13465     1.25774   0.0121397
         612      1.1336     1.25754   0.0121216
         613     1.13254     1.25733   0.0121035
         614     1.13147     1.25713   0.0120856
         615     1.13038     1.25692   0.0120677
         616     1.12928     1.25671   0.0120498
         617     1.12817     1.25651   0.0120321
         618     1.12705      1.2563   0.0120145
         619     1.12592     1.25609   0.0119969
         620     1.12478     1.25587   0.0119794
         621     1.12362     1.25566    0.011962
         622     1.12247     1.25545   0.0119447
         623      1.1213     1.25523   0.0119275
         624     1.12013     1.25502   0.0119103
         625     1.11896      1.2548   0.0118933
         626     1.11778     1.25458   0.0118763
         627     1.11659     1.25436   0.0118594
         628      1.1154     1.25414   0.0118426
